Date,Month,Week,Year,Station.Location,Station.State,Avg.temp,Max.temp,Min.temp,Wind.direction,Wind.speed
4/3/2016,4,3,2016,"Cape Girardeau, MO",Missouri,51,64,37,26,9.43
4/3/2016,4,3,2016,"Billings, MT",Montana,55,68,41,28,12.2
4/3/2016,4,3,2016,"Grand Island, NE",Nebraska,49,63,34,28,11.2
4/3/2016,4,3,2016,"Ely, NV",Nevada,44,60,28,23,3.16
4/3/2016,4,3,2016,"Concord, NH",New Hampshire,45,55,35,24,8.93
4/3/2016,4,3,2016,"Atlantic City, NJ",New Jersey,52,61,43,24,10.03
4/3/2016,4,3,2016,"Albuquerque, NM",New Mexico,49,63,35,16,4.03
4/3/2016,4,3,2016,"Albany, NY",New York,44,53,34,26,9.4
4/3/2016,4,3,2016,"Asheville, NC",North Carolina,56,65,46,29,9.76
4/3/2016,4,3,2016,"Bismarck, ND",North Dakota,42,62,23,28,7.3
4/3/2016,4,3,2016,"Akron, OH",Ohio,41,51,30,26,11.66
4/3/2016,4,3,2016,"Gage, OK",Oklahoma,51,72,30,27,9.56
4/3/2016,4,3,2016,"Astoria, OR",Oregon,51,60,42,27,4.53
4/3/2016,4,3,2016,"Allentown, PA",Pennsylvania,52,61,43,26,10.16
4/3/2016,4,3,2016,"Providence, RI",Rhode Island,49,55,43,25,9.53
4/3/2016,4,3,2016,"Anderson, SC",South Carolina,61,69,54,24,8.53
4/3/2016,4,3,2016,"Aberdeen, SD",South Dakota,41,56,26,33,7.53
4/3/2016,4,3,2016,"Bristol/Jhnsn Cty/Kngsprt, TN",Tennessee,55,63,46,26,8.8
4/3/2016,4,3,2016,"Abilene, TX",Texas,53,67,39,16,7.66
4/3/2016,4,3,2016,"Salt Lake City, UT",Utah,51,64,38,18,2.7
4/3/2016,4,3,2016,"Burlington, VT",Vermont,42,50,33,27,9.86
4/3/2016,4,3,2016,"Lynchburg, VA",Virginia,55,66,44,25,7.36
4/3/2016,4,3,2016,"Deer Park, WA",Washington,50,68,32,20,3.96
4/3/2016,4,3,2016,"Beckley, WV",West Virginia,48,59,37,27,12.13
4/3/2016,4,3,2016,"Green Bay, WI",Wisconsin,34,42,27,22,8.5
4/3/2016,4,3,2016,"Casper, WY",Wyoming,40,52,28,23,13.76
5/1/2016,5,1,2016,"Birmingham, AL",Alabama,70,76,63,19,2
5/1/2016,5,1,2016,"Anchorage, AK",Alaska,44,49,39,16,5.7
5/1/2016,5,1,2016,"Douglas Bisbee, AZ",Arizona,59,75,42,23,4.9
5/1/2016,5,1,2016,"Fort Smith, AR",Arkansas,63,74,52,30,6
5/1/2016,5,1,2016,"Bakersfield, CA",California,72,88,55,36,1.1
5/1/2016,5,1,2016,"Alamosa, CO",Colorado,37,45,28,11,7.8
5/1/2016,5,1,2016,"Bridgeport, CT",Connecticut,47,50,43,9,7.3
5/1/2016,5,1,2016,"Wilmington, DE",Delaware,50,53,47,10,5.6
5/1/2016,5,1,2016,"Daytona Beach, FL",Florida,77,85,68,12,4.8
5/1/2016,5,1,2016,"Alma, GA",Georgia,79,89,68,15,4.1
5/1/2016,5,1,2016,"Hilo, HI",Hawaii,76,82,70,2,1.7
5/1/2016,5,1,2016,"Boise, ID",Idaho,56,71,40,34,1.3
5/1/2016,5,1,2016,"Chicago, IL",Illinois,46,49,42,3,12.4
5/1/2016,5,1,2016,"Evansville, IN",Indiana,67,79,54,24,5.6
5/1/2016,5,1,2016,"Cedar Rapids, IA",Iowa,47,49,44,4,9.4
5/1/2016,5,1,2016,"Concordia, KS",Kansas,47,50,43,34,9.3
5/1/2016,5,1,2016,"Covington, KY",Kentucky,70,80,60,20,5.8
5/1/2016,5,1,2016,"Baton Rouge, LA",Louisiana,69,72,66,8,3.2
5/1/2016,5,1,2016,"Bangor, ME",Maine,49,63,34,18,5.4
5/1/2016,5,1,2016,"Baltimore, MD",Maryland,52,55,49,11,5.6
5/1/2016,5,1,2016,"Boston, MA",Massachusetts,48,53,43,15,5.5
5/1/2016,5,1,2016,"Alpena, MI",Michigan,46,55,37,8,5.6
5/1/2016,5,1,2016,"Duluth, MN",Minnesota,43,54,32,9,8
5/1/2016,5,1,2016,"Greenville, MS",Mississippi,75,84,66,14,4
5/1/2016,5,1,2016,"Cape Girardeau, MO",Missouri,70,80,59,23,3.2
5/1/2016,5,1,2016,"Billings, MT",Montana,50,61,38,14,1.8
5/1/2016,5,1,2016,"Grand Island, NE",Nebraska,46,52,40,36,14.1
5/1/2016,5,1,2016,"Ely, NV",Nevada,42,52,31,36,10.5
5/1/2016,5,1,2016,"Concord, NH",New Hampshire,45,51,39,13,1.7
5/1/2016,5,1,2016,"Atlantic City, NJ",New Jersey,50,52,48,8,5.3
5/1/2016,5,1,2016,"Albuquerque, NM",New Mexico,47,53,40,9,25.8
5/1/2016,5,1,2016,"Albany, NY",New York,49,54,44,16,6.9
5/1/2016,5,1,2016,"Asheville, NC",North Carolina,68,77,59,16,4.1
5/1/2016,5,1,2016,"Bismarck, ND",North Dakota,48,65,30,30,1.5
5/1/2016,5,1,2016,"Akron, OH",Ohio,63,73,53,26,3.5
5/1/2016,5,1,2016,"Gage, OK",Oklahoma,49,56,42,34,14.5
5/1/2016,5,1,2016,"Astoria, OR",Oregon,62,81,42,6,5.9
5/1/2016,5,1,2016,"Allentown, PA",Pennsylvania,49,53,44,12,4.4
5/1/2016,5,1,2016,"Providence, RI",Rhode Island,46,51,40,15,3.4
5/1/2016,5,1,2016,"Anderson, SC",South Carolina,74,83,65,23,3.7
5/1/2016,5,1,2016,"Aberdeen, SD",South Dakota,48,64,31,36,6.8
5/1/2016,5,1,2016,"Bristol/Jhnsn Cty/Kngsprt, TN",Tennessee,69,79,59,22,3.3
5/1/2016,5,1,2016,"Abilene, TX",Texas,59,68,50,1,14.6
5/1/2016,5,1,2016,"Salt Lake City, UT",Utah,57,65,48,8,10.8
5/1/2016,5,1,2016,"Burlington, VT",Vermont,47,51,43,18,3.1
5/1/2016,5,1,2016,"Lynchburg, VA",Virginia,63,74,52,19,3.3
5/1/2016,5,1,2016,"Deer Park, WA",Washington,55,73,37,3,6.2
5/1/2016,5,1,2016,"Beckley, WV",West Virginia,65,76,53,18,3.9
5/1/2016,5,1,2016,"Green Bay, WI",Wisconsin,49,57,41,4,13.6
5/1/2016,5,1,2016,"Casper, WY",Wyoming,41,51,30,5,5.2
6/5/2016,6,5,2016,"Birmingham, AL",Alabama,80,89,70,16,2.78
6/5/2016,6,5,2016,"Anchorage, AK",Alaska,57,63,49,18,7.84
6/5/2016,6,5,2016,"Douglas Bisbee, AZ",Arizona,78,98,57,18,5.96
6/5/2016,6,5,2016,"Fort Smith, AR",Arkansas,75,83,67,18,3.88
6/5/2016,6,5,2016,"Bakersfield, CA",California,88,104,71,33,4.56
6/5/2016,6,5,2016,"Alamosa, CO",Colorado,61,79,43,15,4.16
6/5/2016,6,5,2016,"Bridgeport, CT",Connecticut,68,72,62,12,6.36
6/5/2016,6,5,2016,"Wilmington, DE",Delaware,73,81,65,15,5.88
6/5/2016,6,5,2016,"Daytona Beach, FL",Florida,81,89,72,12,3.4
6/5/2016,6,5,2016,"Alma, GA",Georgia,82,93,70,13,1.98
6/5/2016,6,5,2016,"Hilo, HI",Hawaii,76,81,70,19,2.68
6/5/2016,6,5,2016,"Boise, ID",Idaho,74,90,58,24,3.94
6/5/2016,6,5,2016,"Chicago, IL",Illinois,69,78,59,23,5.78
6/5/2016,6,5,2016,"Evansville, IN",Indiana,73,81,65,21,3.7
6/5/2016,6,5,2016,"Cedar Rapids, IA",Iowa,69,81,57,26,8.56
6/5/2016,6,5,2016,"Concordia, KS",Kansas,69,82,56,26,6.94
6/5/2016,6,5,2016,"Covington, KY",Kentucky,74,82,64,22,3.6
6/5/2016,6,5,2016,"Baton Rouge, LA",Louisiana,78,85,70,9,3.2
6/5/2016,6,5,2016,"Bangor, ME",Maine,63,73,53,13,6.6
6/5/2016,6,5,2016,"Baltimore, MD",Maryland,74,81,65,14,4.1
6/5/2016,6,5,2016,"Boston, MA",Massachusetts,63,68,58,10,6.44
6/5/2016,6,5,2016,"Alpena, MI",Michigan,59,71,47,17,5.36
6/5/2016,6,5,2016,"Duluth, MN",Minnesota,55,64,46,19,7.38
6/5/2016,6,5,2016,"Greenville, MS",Mississippi,77,85,70,12,3.22
6/5/2016,6,5,2016,"Cape Girardeau, MO",Missouri,73,81,64,21,3.12
6/5/2016,6,5,2016,"Billings, MT",Montana,66,80,51,21,5.82
6/5/2016,6,5,2016,"Grand Island, NE",Nebraska,69,83,55,27,9.28
6/5/2016,6,5,2016,"Ely, NV",Nevada,63,85,39,16,4.04
6/5/2016,6,5,2016,"Concord, NH",New Hampshire,65,75,53,17,2.96
6/5/2016,6,5,2016,"Atlantic City, NJ",New Jersey,70,77,63,13,5.36
6/5/2016,6,5,2016,"Albuquerque, NM",New Mexico,74,87,61,15,7.76
6/5/2016,6,5,2016,"Albany, NY",New York,71,80,61,17,6.1
6/5/2016,6,5,2016,"Asheville, NC",North Carolina,73,83,63,23,1.64
6/5/2016,6,5,2016,"Bismarck, ND",North Dakota,64,77,51,28,11.22
6/5/2016,6,5,2016,"Akron, OH",Ohio,72,81,62,22,5.24
6/5/2016,6,5,2016,"Gage, OK",Oklahoma,69,82,56,7,4.2
6/5/2016,6,5,2016,"Astoria, OR",Oregon,63,72,54,28,4.98
6/5/2016,6,5,2016,"Allentown, PA",Pennsylvania,72,82,63,14,3.7
6/5/2016,6,5,2016,"Providence, RI",Rhode Island,67,74,59,13,5.68
6/5/2016,6,5,2016,"Anderson, SC",South Carolina,79,89,68,26,2.24
6/5/2016,6,5,2016,"Aberdeen, SD",South Dakota,62,76,48,26,10.98
6/5/2016,6,5,2016,"Bristol/Jhnsn Cty/Kngsprt, TN",Tennessee,74,85,63,23,2.72
6/5/2016,6,5,2016,"Abilene, TX",Texas,72,79,63,22,5.46
6/5/2016,6,5,2016,"Salt Lake City, UT",Utah,74,89,60,18,1.8
6/5/2016,6,5,2016,"Burlington, VT",Vermont,70,79,61,23,4.8
6/5/2016,6,5,2016,"Lynchburg, VA",Virginia,74,84,64,12,2.46
